count,title,dept_name
230,Assistant Engineer,Quality Management
7187,Engineer,Development
14730,Senior Engineer,Development
2252,Technique Leader,Development
376,Engineer,Research
32,Assistant Engineer,Research
1866,Staff,Customer Service
12767,Senior Engineer,Production
154,Staff,Production
3635,Senior Staff,Research
1,Manager,Research
1984,Technique Leader,Production
4200,Senior Staff,Marketing
77,Technique Leader,Customer Service
759,Senior Engineer,Research
1,Manager,Sales
10929,Senior Staff,Sales
296,Engineer,Customer Service
6111,Engineer,Production
437,Senior Staff,Production
3603,Senior Engineer,Quality Management
112,Technique Leader,Research
1695,Staff,Human Resources
3696,Senior Staff,Finance
1562,Staff,Finance
4265,Senior Staff,Customer Service
1847,Staff,Marketing
551,Technique Leader,Quality Management
889,Assistant Engineer,Development
194,Staff,Development
746,Assistant Engineer,Production
611,Senior Engineer,Customer Service
4769,Staff,Sales
34,Assistant Engineer,Customer Service
1752,Engineer,Quality Management
1521,Staff,Research
376,Senior Staff,Development
3744,Senior Staff,Human Resources
